,payloads,length,nonprintable_keywords,special_chars,punctuation_chars,js_events,html_tags,sql_keywords,percentage_count,spaces_count,is_malicious
18124,Copisteria,10,0,0,0,0,0,0,0,0,0
18125,Western Union,13,0,0,0,0,0,2,0,1,0
18126,SPEC,4,0,0,0,0,0,2,0,0,0
18127,Egov.kz,7,0,1,1,0,0,0,0,0,0
18128,Papa Shirandula,15,0,0,0,0,0,0,0,1,0
18129,Kobe Bryant,11,0,0,0,0,0,0,0,1,0
18130,Former President Daniel Moi,27,0,0,0,0,0,0,0,3,0
18131,Former President Daniel Moi,27,0,0,0,0,0,0,0,3,0
18132,Ken Walibora,12,0,0,0,0,0,0,0,1,0
18133,EPL standings,13,0,0,0,0,0,1,0,1,0
18134,US elections,12,0,0,0,0,0,10,0,1,0
18135,Thank you coronavirus helpers,29,0,0,0,0,0,0,0,3,0
18136,Coronavirus in Kenya,20,0,0,0,0,0,77,0,2,0
18137,Schools reopening in Kenya,26,0,0,0,0,0,77,0,3,0
18138,Joe Biden,9,0,0,0,0,0,0,0,1,0
18139,Kim Jong-Un,11,0,1,1,0,0,0,0,1,0
18140,Kamala Harris,13,0,0,0,0,0,0,0,1,0
18141,Boris Johnson,13,0,0,0,0,0,0,0,1,0
18142,Mike Oliver,11,0,0,0,0,0,0,0,1,0
18143,Coronavirus,11,0,0,0,0,0,0,0,0,0
18144,Quarantine,10,0,0,0,0,0,0,0,0,0
18145,Dexamethasone,13,0,0,0,0,0,0,0,0,0
18146,Pfizer,6,0,0,0,0,0,0,0,0,0
18147,Vitamin C,9,0,0,0,0,0,139,0,1,0
18148,How to fill Tpad online,23,0,0,0,0,0,11,0,4,0
18149,How to create a website,23,0,0,0,0,0,191,0,4,0
18150,How to connect a phone to TV,28,0,0,0,0,0,201,0,6,0
18151,How to make my electric plate cooker work,41,0,0,0,0,0,11,0,7,0
18152,How to take a screenshot on a laptop,36,0,0,0,0,0,425,0,7,0
18153,How to fill Tpad online,23,0,0,0,0,0,11,0,4,0
18154,How to create a website,23,0,0,0,0,0,191,0,4,0
18155,How to connect a phone to TV,28,0,0,0,0,0,201,0,6,0
18156,How to make my electric plate cooker work,41,0,0,0,0,0,11,0,7,0
18157,How to take a screenshot on a laptop,36,0,0,0,0,0,425,0,7,0
18158,How to bake a cake using a jiko,31,0,0,0,0,0,370,0,7,0
18159,How to cook mandazi,19,0,0,0,0,0,10,0,3,0
18160,How to make pancakes,20,0,0,0,0,0,10,0,3,0
18161,How to make samosa,18,0,0,0,0,0,10,0,3,0
18162,How to make ice cream,21,0,0,0,0,0,10,0,4,0
18163,How to file nil returns,23,0,0,0,0,0,13,0,4,0
18164,How to open pdf file,20,0,0,0,0,0,13,0,4,0
18165,How to check NHIF status,24,0,0,0,0,0,12,0,4,0
18166,How to write a report,21,0,0,0,0,0,192,0,4,0
18167,How to play chess,17,0,0,0,0,0,10,0,3,0
18168,How to make hand sanitiser,26,0,0,0,0,0,11,0,4,0
18169,How to lose weight fast,23,0,0,0,0,0,12,0,4,0
18170,How to get a baby boy,21,0,0,0,0,0,190,0,5,0
18171,how to lose belly fat,21,0,0,0,0,0,12,0,4,0
18172,How to boost immunity,21,0,0,0,0,0,10,0,3,0
18173,Miguna Miguna,13,0,0,0,0,0,0,0,1,0
18174,Babu Owino,10,0,0,0,0,0,0,0,1,0
18175,Raphael Tuju,12,0,0,0,0,0,0,0,1,0
18176,Ruth Matete,11,0,0,0,0,0,0,0,1,0
18177,Joan Kubai,10,0,0,0,0,0,0,0,1,0
18178,Money Heist,11,0,0,0,0,0,0,0,1,0
18179,Maria,5,0,0,0,0,0,0,0,0,0
18180,Ringo,5,0,0,0,0,0,0,0,0,0
18181,Extraction,10,0,0,0,0,0,0,0,0,0
18182,Contagion,9,0,0,0,0,0,0,0,0,0
18183,Kenny Rogers,12,0,0,0,0,0,0,0,1,0
18184,Ruth Matete,11,0,0,0,0,0,0,0,1,0
18185,Papa Dennis,11,0,0,0,0,0,0,0,1,0
18186,Rhino Kaboom,12,0,0,0,0,0,0,0,1,0
18187,Lady Maureen,12,0,0,0,0,0,0,0,1,0
18188,What is coronavirus,19,0,0,0,0,0,13,0,2,0
18189,What is curfew,14,0,0,0,0,0,13,0,2,0
18190,What is happening in Nigeria,28,0,0,0,0,0,90,0,4,0
18191,What is halloween,17,0,0,0,0,0,13,0,2,0
18192,What is fever,13,0,0,0,0,0,13,0,2,0
18193,Coronavirus,11,0,0,0,0,0,0,0,0,0
18194,India vs New Zealand,20,0,0,0,0,0,0,0,3,0
18195,Coronavirus update,18,0,0,0,0,0,2,0,1,0
18196,Kuwait news,11,0,0,0,0,0,0,0,1,0
18197,Zoom,4,0,0,0,0,0,0,0,0,0
18198,Cepumu receptes,15,0,0,0,0,0,0,0,1,0
18199,Koronavirusas,13,0,0,0,0,0,0,0,0,0
18200,Esveikata,9,0,0,0,0,0,0,0,0,0
18201,Classroom,9,0,0,0,0,0,0,0,0,0
18202,Zoom,4,0,0,0,0,0,0,0,0,0
18203,Kaip deklaruoti pajamas?,24,0,1,1,0,0,0,0,2,0
18204,Kaip balsuoti?,14,0,1,1,0,0,0,0,1,0
18205,Tinginys,8,0,0,0,0,0,0,0,0,0
18206,Sausainiai,10,0,0,0,0,0,0,0,0,0
18207,Kibinai,7,0,0,0,0,0,0,0,0,0
18208,Vafliai,7,0,0,0,0,0,0,0,0,0
